application_id,timestamp,race,sex,age_group,approval_decision,model_score,loan_amount,loan_duration_months,loan_purpose,annual_income,zipcode,employment_length_years,credit_score,marital_status,education_level
a1d1e0b4-9661-4bfa-b805-312a9e2427af,2025-06-30 04:27:39.170434+00:00,Black,Male,56+,1,0.8463234901011284,15516.954467189084,36,other,99320.57871152605,98101,1,800,Married,Bachelors
28bd95df-2207-479f-8a96-5ed8f04771cf,2025-06-30 04:27:39.170434+00:00,Hispanic,Female,18-35,1,0.9281732186717152,19992.418310125737,60,education,93012.87719116292,60601,0,750,Single,Masters
a5e5876e-7d91-4a75-a83b-df7d1d78cc17,2025-06-30 04:27:39.170435+00:00,White,Female,56+,1,0.3639967554602611,16884.726166361837,48,car,50222.11268533283,90210,10,650,Married,PhD
1060fd2a-715e-4b79-a88e-10412b551ceb,2025-06-30 04:27:39.170435+00:00,White,Female,36-55,1,0.4576783712959608,26766.427987920542,60,education,121458.8647975843,10001,0,700,Married,Bachelors
d20644b4-8c7b-4c58-ada9-73c9a7b6df06,2025-06-30 04:27:39.170435+00:00,White,Male,56+,0,0.9482153574812169,11545.929332352018,24,home,108683.65964696484,60601,10,600,Divorced,PhD
b3057e53-1ea4-4599-89ee-8e9b4832f1d1,2025-06-30 04:27:39.170436+00:00,White,Female,56+,1,0.8412150254698643,22512.08642975086,60,home,76771.02270914889,60601,2,600,Single,HS
37061ac5-cd1c-41dd-9562-c9d59c6492ca,2025-06-30 04:27:39.170436+00:00,White,Male,36-55,1,0.3967125785623298,23174.291831214803,60,home,54182.6286040081,10001,15,600,Married,PhD
ab56ab9a-3554-46f2-9fa0-30197b7aee45,2025-06-30 04:27:39.170436+00:00,Hispanic,Male,56+,0,0.19473516223010523,23724.889988529467,48,other,61705.313212678004,98101,1,600,Single,HS
2d80c4c2-c101-40eb-9fe1-a8d58e210bbd,2025-06-30 04:27:39.170437+00:00,Hispanic,Male,36-55,1,0.7320738330239989,23665.72082312597,60,education,97693.1671341875,60601,10,700,Married,PhD
be18021d-a6cf-4f48-b0d9-c8c7463dca10,2025-06-30 04:27:39.170437+00:00,White,Female,18-35,1,0.6599499263194343,21042.297481202848,12,education,49735.73491534122,10001,0,600,Married,Bachelors
8a4d61b4-b03f-4a62-80e1-3327eb8bf031,2025-06-30 04:27:39.170438+00:00,Hispanic,Male,18-35,1,0.6839004732320509,27856.51372615031,36,other,88161.80384620564,10001,2,800,Divorced,Masters
a960a003-cc86-47b0-bb6f-4ce8680ef94a,2025-06-30 04:27:39.170438+00:00,White,Male,36-55,0,0.3461144494583084,20169.126695452273,12,home,59447.37473423939,10001,1,800,Single,Bachelors
ab2c905f-1205-4e7b-ad0f-8004983a46a0,2025-06-30 04:27:39.170438+00:00,White,Female,18-35,1,0.05238291338171164,20670.437317607746,12,other,123029.23623205867,10001,10,750,Divorced,HS
2e758832-9654-4fec-ab1a-e0f19871ea26,2025-06-30 04:27:39.170439+00:00,White,Female,36-55,1,0.9172663067788681,16383.090348602116,12,home,107564.87525616036,60601,2,600,Divorced,PhD
9c073843-36d7-42d9-88ab-ea08d17d8c6f,2025-06-30 04:27:39.170439+00:00,White,Female,36-55,1,0.34378725869042004,21495.08929956954,12,education,89341.99224519896,90210,5,750,Divorced,HS
1ad633b7-6ec6-41e9-819b-d5f9eb729e09,2025-06-30 04:27:39.170440+00:00,Black,Female,36-55,1,0.1785911961294988,20452.065204102735,12,car,80870.28206782058,90210,1,650,Married,HS
f8774aec-1696-484d-8897-14f2e0d3cd7c,2025-06-30 04:27:39.170440+00:00,White,Female,36-55,0,0.9983058838691428,14857.223093215198,24,home,29252.537855332586,90210,10,700,Single,HS
e67f96a8-c6a3-42a7-8680-0986c2dd85ac,2025-06-30 04:27:39.170441+00:00,Hispanic,Male,36-55,1,0.027066320925044574,15592.028567202224,60,home,79178.36454036529,90210,5,700,Married,PhD
0b1ffab3-506e-47d9-bc3b-41c232a0bc61,2025-06-30 04:27:39.170441+00:00,Black,Female,56+,1,0.5167269587266846,19257.90193305415,48,home,95071.61265961638,98101,2,750,Married,PhD
5b365373-c58e-4d7b-b3a5-998b0f43a19d,2025-06-30 04:27:39.170442+00:00,White,Female,56+,1,0.3177854762121646,16709.427111489742,24,other,82020.41163007235,98101,15,650,Single,Masters
a9a7f1b7-ff25-43fd-a076-13d48175a8e7,2025-06-30 04:27:39.170442+00:00,White,Male,36-55,1,0.33255370718672694,21822.38374625504,36,other,74915.54766833449,98101,2,800,Divorced,PhD
018e7b4b-1938-4a73-a7d7-4eea54d79ea9,2025-06-30 04:27:39.170442+00:00,White,Male,18-35,1,0.7806804323435981,27311.13563439126,48,car,45736.16977606917,10001,5,750,Married,HS
3cb3df10-3110-41ea-ae45-86373f06fc76,2025-06-30 04:27:39.170443+00:00,Asian,Female,18-35,0,0.6875612563073275,23417.31869959621,60,other,100106.3877679491,60601,1,750,Married,PhD
d0f68b7b-772c-4922-9de3-fbc21e6387cb,2025-06-30 04:27:39.170443+00:00,White,Male,18-35,1,0.14932698554378476,14981.899532708601,48,car,88766.61346952287,90210,0,750,Single,Masters
3313f7cb-f316-40d7-b8e3-4a6d7a3ff0b1,2025-06-30 04:27:39.170444+00:00,White,Female,18-35,1,0.6929786518580546,10004.8184270259,60,other,124109.20338098856,60601,5,700,Married,PhD
58efb733-4f35-4972-84bb-be2f3c38b6b1,2025-06-30 04:27:39.170444+00:00,White,Male,18-35,0,0.8933610307833705,12098.164059348686,48,other,94562.23803929807,90210,15,600,Divorced,PhD
b85f6dd4-c40a-4abd-abe0-b0498bbdfb17,2025-06-30 04:27:39.170444+00:00,Hispanic,Female,56+,1,0.7943389824308279,17240.551468104062,60,home,58555.725422140415,98101,5,750,Married,PhD
e8584c39-7615-4109-b412-c4289376e59d,2025-06-30 04:27:39.170445+00:00,White,Female,18-35,1,0.4498283305169207,27778.435768914424,48,education,87422.77392050967,98101,1,600,Divorced,PhD
c016f3fc-c14a-4ade-9fde-e76443012ad0,2025-06-30 04:27:39.170445+00:00,White,Male,18-35,1,0.37045752096446294,22084.28462462224,12,education,56549.499955826366,60601,10,750,Single,Bachelors
b8d8318e-972f-485c-b7bd-5dba2a0549c1,2025-06-30 04:27:39.170446+00:00,White,Male,36-55,0,0.24671195523821243,13805.49205128827,24,other,53948.819290012856,60601,0,600,Single,Bachelors
4692b22b-df66-4f4c-8eda-7914b58af810,2025-06-30 04:27:39.170446+00:00,White,Female,18-35,1,0.55227706455604,29296.919921581477,48,car,90829.19677508887,60601,10,800,Single,Bachelors
084e21ae-54e8-4e73-9ab6-0bd53ad25311,2025-06-30 04:27:39.170446+00:00,White,Male,36-55,0,0.6978658042327169,22092.266180587285,36,car,78269.52288177949,10001,15,600,Divorced,Masters
75e92896-d896-4ae2-b869-a6a5b07cd002,2025-06-30 04:27:39.170447+00:00,White,Female,18-35,0,0.6969370602413287,21803.75160717967,48,other,69961.68954935764,10001,15,750,Single,Masters
ff87262c-0837-406d-9be0-2ddec4a4d7cf,2025-06-30 04:27:39.170447+00:00,White,Male,56+,1,0.43203122800107074,23289.076856238964,12,other,80831.29658969773,10001,1,600,Married,Bachelors
67e718da-e62a-4d8c-80e5-91a89496d0f4,2025-06-30 04:27:39.170448+00:00,White,Female,18-35,1,0.9465541406240268,19423.19254927127,60,other,36057.1403947828,10001,1,750,Divorced,Bachelors
0ab9d9cf-8a81-4791-9ef8-d12c67fff170,2025-06-30 04:27:39.170448+00:00,White,Male,18-35,0,0.5935905810386466,23488.237535374537,60,education,59171.909251248755,60601,1,650,Married,HS
4f4a2fac-58a9-4ad7-a9d2-bcaf2b0c53d1,2025-06-30 04:27:39.170449+00:00,Asian,Male,36-55,1,0.28783049046886455,15860.353767443052,12,home,60908.05982897128,60601,2,750,Single,PhD
b4dcbaf0-ea04-4f0e-b758-cd65c19a836b,2025-06-30 04:27:39.170449+00:00,White,Male,18-35,1,0.30488751029072514,21546.536780669867,24,home,84987.84804872256,60601,0,800,Divorced,HS
74452f7b-d288-49cb-b63e-e06d27cf7cea,2025-06-30 04:27:39.170450+00:00,White,Male,36-55,1,0.932573594956738,27056.873845273247,60,other,41924.1437149143,98101,1,600,Single,HS
8189062b-0644-4119-8231-29e9957c7713,2025-06-30 04:27:39.170450+00:00,Asian,Male,18-35,1,0.05196395326839931,19787.791948976224,12,other,66400.73447525116,98101,0,600,Divorced,Bachelors
75d2f583-2140-40ad-ad29-03ee7679287d,2025-06-30 04:27:39.170450+00:00,Hispanic,Female,36-55,1,0.6251723140131579,7793.707799953103,12,home,88716.87196506263,98101,5,750,Single,Masters
a1ce394c-4f5f-431d-a5ad-98e2d1a6056b,2025-06-30 04:27:39.170451+00:00,Black,Male,36-55,1,0.37891090905573754,17163.58401560768,60,other,68339.31854569631,10001,5,800,Single,HS
c7daa6f8-36a1-4727-8948-a3e4b5c98175,2025-06-30 04:27:39.170451+00:00,White,Female,18-35,1,0.22284123024521596,8676.387279835677,60,education,86711.42795883467,60601,0,800,Single,PhD
9324d267-3e04-4847-a70b-7c0267d8c645,2025-06-30 04:27:39.170451+00:00,Black,Female,18-35,1,0.4816844834101466,27604.915111797374,60,home,80353.46014702908,98101,15,600,Married,Bachelors
bdd39d11-30a8-44df-8f23-65fcf8814897,2025-06-30 04:27:39.170452+00:00,White,Male,36-55,1,0.5303888646925751,17079.695424094978,12,other,84850.55967995749,98101,10,700,Divorced,HS
890b0735-f3e9-496f-a386-fab078660544,2025-06-30 04:27:39.170452+00:00,White,Female,18-35,1,0.5865502145957662,23747.608791445142,48,other,93599.64402235145,10001,2,700,Married,PhD
dcce0efe-58ac-4969-b5a9-793431fd4c34,2025-06-30 04:27:39.170453+00:00,White,Male,18-35,1,0.8746650993463112,16413.014003898876,48,other,80599.4876305685,98101,10,600,Single,Bachelors
5f7834d5-1bb2-4939-87e3-738318e59517,2025-06-30 04:27:39.170453+00:00,White,Female,56+,1,0.5466637860015844,20810.84694492904,36,home,72393.55807441616,10001,10,700,Single,Masters
525f2297-51a2-488e-aaa9-14d10fac3bc5,2025-06-30 04:27:39.170454+00:00,Hispanic,Female,56+,1,0.6392526687016318,22230.352576276426,48,education,82607.70913783844,98101,1,650,Single,Bachelors
994f43b2-b33b-41a0-89de-c40ce5ba8712,2025-06-30 04:27:39.170455+00:00,White,Female,18-35,1,0.9703232410498296,20365.371444888664,24,car,97551.88287463764,98101,5,800,Married,HS
36a5524d-003e-422f-b617-e4bcc304cde2,2025-06-30 04:27:39.170455+00:00,White,Male,18-35,0,0.292470083472379,20260.220970426442,36,other,65789.58311312417,10001,10,700,Single,PhD
463662e8-ef3f-446d-bbb9-1dd551fcd617,2025-06-30 04:27:39.170456+00:00,Black,Female,36-55,1,0.39456570781931954,20477.690873568783,36,car,94814.10309482893,90210,5,600,Divorced,Masters
25d32290-87b0-4971-8c6b-5b029b8f2e80,2025-06-30 04:27:39.170456+00:00,White,Female,18-35,0,0.03191582849846164,16090.505524795211,12,education,73839.820293088,10001,0,700,Single,PhD
a59769ec-a218-47f4-a67d-be13d5c7357a,2025-06-30 04:27:39.170457+00:00,White,Male,56+,0,0.7115392311056047,14480.883256388552,48,car,74855.20704115329,10001,5,700,Married,PhD
ce445efd-1b69-4013-a469-a91ef28c3151,2025-06-30 04:27:39.170457+00:00,White,Female,18-35,1,0.8400968152204314,26275.04087518353,48,car,71211.90359742379,90210,1,650,Divorced,PhD
4087a155-a031-49ea-aa37-c65c91a2efe7,2025-06-30 04:27:39.170458+00:00,White,Female,56+,1,0.7560814920404698,26390.5210426129,48,education,91553.06275734838,60601,2,600,Divorced,Bachelors
06c7c74b-4a14-4316-b32c-18793a674a29,2025-06-30 04:27:39.170458+00:00,White,Male,36-55,1,0.2741371552346684,19216.10900756301,60,home,78241.27212732125,10001,10,700,Married,PhD
911b31b3-90cc-486f-96e2-14ac335b8cfa,2025-06-30 04:27:39.170459+00:00,White,Female,36-55,1,0.11886980414498638,21913.93156340509,36,car,63593.75950924886,90210,2,600,Divorced,PhD
1419cf9f-992b-44f5-b946-3ac4f91e8b42,2025-06-30 04:27:39.170459+00:00,Asian,Male,18-35,1,0.887846853539118,18563.101336122512,24,education,115622.3305488675,60601,15,800,Married,PhD
9afd020e-fb3b-4422-b40a-0052686242e7,2025-06-30 04:27:39.170460+00:00,White,Male,36-55,1,0.726609145129323,26547.431627795682,48,education,108915.76441857523,60601,1,650,Married,PhD
c9e8961c-69c4-4ebc-88f9-fe8eab4d2bb2,2025-06-30 04:27:39.170461+00:00,White,Female,36-55,1,0.979316977445952,13484.549285770125,36,home,84393.52752563375,98101,5,600,Single,Masters
b7e77980-92df-4488-aeea-9cd2e4a1c325,2025-06-30 04:27:39.170461+00:00,Hispanic,Female,56+,1,0.3707792591719753,21428.826892044002,36,other,80081.15324856224,90210,5,750,Single,Bachelors
b2312f17-9012-4da2-ae5c-5b4fb41a15a6,2025-06-30 04:27:39.170462+00:00,Asian,Male,18-35,1,0.030876420692298567,17262.149791591415,60,home,99633.29448301696,60601,15,750,Divorced,Bachelors
2dd45e8d-2d7a-4787-9f87-9eb88fdd579b,2025-06-30 04:27:39.170462+00:00,White,Male,36-55,0,0.7183860331493465,17775.943526225525,24,car,87139.29778164258,60601,0,700,Married,PhD
18639be8-13a7-4494-b4a4-1d9a9a433217,2025-06-30 04:27:39.170463+00:00,Black,Female,18-35,0,0.7410993313520513,18130.831220883745,60,home,108085.7930858018,10001,15,800,Divorced,HS
c2946690-b334-47a6-a163-96c3a6af8259,2025-06-30 04:27:39.170463+00:00,White,Male,36-55,1,0.5776111373625442,22519.504871379017,36,education,76217.50115845728,10001,2,600,Married,Bachelors
a72dfda5-004b-44ff-af14-223b0f166655,2025-06-30 04:27:39.170464+00:00,Other,Female,56+,1,0.07611426859116444,17649.424308647627,48,home,45293.9189374977,10001,5,600,Single,Masters
c8da84a3-3146-4880-9788-c5256b8ceee8,2025-06-30 04:27:39.170464+00:00,White,Female,18-35,1,0.5967168592925424,25417.123895435045,48,other,87148.7521307623,90210,10,700,Divorced,Masters
bc2ba676-c3a8-4d52-ba84-b2bc3103547f,2025-06-30 04:27:39.170465+00:00,White,Male,36-55,1,0.2760166875447232,22852.123455779707,36,education,78223.8187059857,10001,2,650,Single,Masters
b6469bf4-d163-459d-997c-37f6f142111f,2025-06-30 04:27:39.170465+00:00,White,Male,56+,1,0.02771955802375814,20916.75267484801,36,car,78275.30069803758,90210,0,600,Divorced,Masters
2639d60f-46ec-49a8-acad-0926aa30da91,2025-06-30 04:27:39.170466+00:00,White,Male,18-35,1,0.6750760079692031,30425.426052145558,36,education,102994.65426540804,60601,10,650,Single,Bachelors
c9da6d4d-13e8-469d-b39c-33d94de14003,2025-06-30 04:27:39.170466+00:00,Asian,Female,18-35,0,0.795654949266845,25478.158387547286,48,home,54946.05349739357,60601,2,650,Married,HS
1dbce682-e307-4ab8-b0a0-ed1a81c8ac95,2025-06-30 04:27:39.170467+00:00,White,Female,36-55,1,0.3352654565450086,25150.4657163298,60,other,81314.10978290494,60601,10,750,Single,HS
281d23d9-2880-418c-9fca-5ba8ededfcde,2025-06-30 04:27:39.170467+00:00,Hispanic,Male,18-35,1,0.1438039772310966,20674.096092312593,36,car,88865.60372020744,90210,10,700,Single,Bachelors
89a5d127-8cc8-4ace-86f1-b54d2f878e37,2025-06-30 04:27:39.170468+00:00,Other,Female,18-35,0,0.535783725469277,20605.10080307396,48,other,53173.86325285025,10001,5,800,Single,PhD
05546d31-d8e1-49fc-8127-d11ee5d26cd2,2025-06-30 04:27:39.170468+00:00,Black,Female,18-35,1,0.47687899060210903,15138.505909520049,60,other,62990.559333006095,10001,10,750,Divorced,PhD
6f6f727a-bb78-4b75-bb56-10443c6763a3,2025-06-30 04:27:39.170469+00:00,Black,Female,36-55,0,0.511540248918794,13740.632265256641,12,education,69336.51931304512,98101,2,800,Married,Masters
04a62826-0b9a-4fcc-956d-6c5dc2b739bf,2025-06-30 04:27:39.170469+00:00,White,Female,56+,1,0.4608763184144731,27653.187090263153,24,other,73406.99811702434,10001,1,600,Married,Bachelors
f53dcc16-8cc2-4e54-8466-dda2c6c70d45,2025-06-30 04:27:39.170470+00:00,White,Male,36-55,1,0.6770878638522285,16434.28400470089,36,car,61162.68704935603,60601,10,650,Divorced,HS
af400057-a0bd-41d1-bfc7-e43864336a6a,2025-06-30 04:27:39.170471+00:00,White,Male,36-55,0,0.8257798283705672,27405.845062692322,48,car,110399.50200714462,98101,0,700,Single,PhD
373f7c2f-cf61-4054-a69a-a50fa1b6b0ff,2025-06-30 04:27:39.170471+00:00,Hispanic,Male,56+,1,0.12245411480307844,28352.239975736877,12,car,45179.816050229936,98101,10,600,Single,PhD
8f6f826e-0418-42c2-8b8c-f0095bd960a6,2025-06-30 04:27:39.170471+00:00,White,Female,18-35,1,0.6883309419383193,21254.764720147177,36,home,135317.2376435485,90210,5,750,Married,HS
9ef51b15-0e33-45d0-9bfc-fce6e11c868a,2025-06-30 04:27:39.170472+00:00,Hispanic,Female,18-35,1,0.024545259120419938,3607.3627705928775,60,other,93748.20515594812,90210,5,700,Married,HS
c1e40d1d-8ac0-428f-80e9-d9b16d6865a5,2025-06-30 04:27:39.170473+00:00,White,Female,56+,0,0.19148456408994297,16529.700372808114,60,other,101127.72856532842,90210,10,650,Divorced,Masters
2a7a6bc1-ab2c-4678-b1ca-ad4df45c8bbc,2025-06-30 04:27:39.170473+00:00,White,Male,36-55,1,0.6522525486412407,19428.447868117823,24,other,71316.44888573483,98101,2,700,Divorced,Masters
6f4414a6-8255-4c90-94fe-b106e517b08e,2025-06-30 04:27:39.170473+00:00,Hispanic,Female,18-35,0,0.27538723664959974,29595.007229560884,60,other,113049.79401169594,98101,10,750,Single,HS
7e0cc847-7360-493e-b928-af21544f333a,2025-06-30 04:27:39.170474+00:00,Hispanic,Male,18-35,1,0.5062316088462818,14369.851257657636,48,car,60183.430790687715,98101,15,650,Divorced,PhD
42584852-6b47-43ed-847f-d37424df1ccc,2025-06-30 04:27:39.170474+00:00,White,Male,56+,0,0.6915896783375161,30894.040393015217,48,other,62630.127562340465,10001,2,750,Divorced,HS
f9010f60-fa2f-4050-9a5b-cfa9e2d4d86b,2025-06-30 04:27:39.170475+00:00,White,Male,18-35,1,0.2359783217371797,17618.907576040092,12,other,112144.39786501996,60601,0,600,Divorced,PhD
604d74ce-4355-4bfe-a4f8-4ca0fcc7f07a,2025-06-30 04:27:39.170475+00:00,White,Male,36-55,1,0.7868533907227397,22977.80286290825,48,car,61056.72958464188,10001,15,750,Divorced,Masters
c2be6c9a-f099-4f5b-86c9-f65062693898,2025-06-30 04:27:39.170476+00:00,White,Male,56+,1,0.49564668280867963,15993.438607386901,48,home,91558.14201074454,98101,5,800,Single,PhD
645852dd-d8da-454b-87aa-20dbcac7de40,2025-06-30 04:27:39.170476+00:00,White,Male,36-55,0,0.9069221992683498,16899.85579242285,12,education,81064.77382467028,60601,2,800,Divorced,Masters
2b776d00-060b-48a4-962d-2b7498fa5c49,2025-06-30 04:27:39.170477+00:00,Black,Male,36-55,0,0.34857508636384116,30169.458899684265,12,education,85586.86364937689,10001,0,750,Married,PhD
2de6f8e6-c195-4a89-8040-f0631eafe474,2025-06-30 04:27:39.170478+00:00,Other,Male,36-55,1,0.4852047917438609,13497.252748799414,48,car,91124.49051046553,90210,1,800,Single,Masters
8b6e02f4-d397-498d-b927-4699870ce5c7,2025-06-30 04:27:39.170478+00:00,Hispanic,Female,56+,1,0.7696467559005943,12308.835169218648,48,education,81081.55742762922,10001,2,800,Married,Bachelors
c74d5b40-3eb1-4f6c-a6e0-df066a8cae4d,2025-06-30 04:27:39.170479+00:00,Black,Female,36-55,1,0.12540488739238786,21605.112767677158,24,education,76761.08731537189,90210,1,700,Married,Masters
926ad42d-8270-4a44-980d-48250d63ad65,2025-06-30 04:27:39.170479+00:00,White,Male,36-55,1,0.5300214838820732,22226.24108232517,60,home,127157.40333004076,60601,10,750,Single,PhD
ad1efeb2-b8f0-4042-991c-53ecb3fab6ed,2025-06-30 04:27:39.170480+00:00,Black,Male,36-55,0,0.2558624530099607,20274.477709388288,48,home,92120.9419989461,98101,15,650,Divorced,HS
4c077ea3-d7ad-445b-b369-57bcda7d46eb,2025-06-30 04:27:39.170480+00:00,White,Male,56+,0,0.4354478274326721,27663.874188901504,24,other,83893.68979547253,60601,5,750,Married,HS
ad6c95d0-7741-45fc-ae47-78096e1b2f3a,2025-06-30 04:27:39.170480+00:00,Hispanic,Female,36-55,1,0.8580775896889198,20664.187326028707,12,education,52334.99885663838,10001,0,600,Married,PhD
25224f31-49a6-46b3-89bf-218def31be59,2025-06-30 04:27:39.170481+00:00,White,Female,18-35,1,0.5818389726686041,21606.073451927747,48,car,91774.03076182693,60601,2,800,Divorced,PhD
d27cd900-c194-4df8-9685-ea751d2dee41,2025-06-30 04:27:39.170481+00:00,Hispanic,Male,56+,0,0.6333787776942874,16277.019893818753,24,other,75621.28828833868,98101,5,650,Divorced,HS
3b218b57-6e0a-47d4-af3f-4320502a46d4,2025-06-30 04:27:39.170482+00:00,Other,Male,18-35,0,0.04251114620059715,20597.613136795568,24,car,73669.15315534441,10001,10,750,Married,Masters
ff1b7a31-cc5a-4bbb-8e82-ac9c239b9cc0,2025-06-30 04:27:39.170482+00:00,White,Male,18-35,0,0.46530576808914625,26152.41514748838,24,other,56525.44060693767,10001,5,650,Married,HS
8d2d47af-bd9a-4e51-b8e8-c50e36bb0553,2025-06-30 04:27:39.170483+00:00,White,Female,36-55,0,0.4239766451837961,21374.680151750566,60,car,45390.481855401646,60601,0,800,Divorced,HS
7cd89897-9d98-495b-bf09-367ed9120ea5,2025-06-30 04:27:39.170483+00:00,White,Female,36-55,1,0.9570975852718518,26224.051732398282,60,other,65148.61038330598,60601,2,800,Divorced,Bachelors
dd4889ef-a03e-40b3-a86b-6d8d3fd7a9f1,2025-06-30 04:27:39.170484+00:00,Hispanic,Male,18-35,0,0.9323705616353062,26784.706437890592,48,education,127278.83595051995,98101,0,650,Divorced,HS
bffe584a-5748-4d34-a895-a0d85e707911,2025-06-30 04:27:39.170484+00:00,Black,Female,18-35,0,0.8249368549970973,19054.53883370882,48,education,50028.66573873548,90210,10,600,Married,Bachelors
0e5de6ab-b071-4607-a9c0-a9c9b14f6b00,2025-06-30 04:27:39.170485+00:00,Hispanic,Male,56+,1,0.40690199502436164,19250.84259280223,36,other,62736.02504942537,90210,15,800,Divorced,Bachelors
781857ab-a3bf-44bd-a15f-1606292fce69,2025-06-30 04:27:39.170485+00:00,White,Male,36-55,1,0.25122259140970626,13908.003346307292,24,home,100496.67943699383,60601,1,700,Divorced,HS
de272e1f-9a2d-4def-b9e6-fdd96652dc3a,2025-06-30 04:27:39.170485+00:00,White,Male,18-35,1,0.19823136896011695,20755.797805364433,60,car,91937.72733113606,10001,10,600,Married,HS
14b92f5e-b3ec-42ff-90fb-49590aa68324,2025-06-30 04:27:39.170486+00:00,Hispanic,Female,56+,0,0.15327946528370784,18559.496516927775,24,home,96373.2322663729,90210,1,650,Divorced,Masters
45a0c4da-b1fd-425d-8974-6078c757c323,2025-06-30 04:27:39.170487+00:00,White,Female,18-35,0,0.8934600125092977,17293.732961675825,12,car,105918.95684761085,98101,10,600,Married,HS
82597bbd-f29d-45bb-b261-da14746b0223,2025-06-30 04:27:39.170487+00:00,Hispanic,Male,56+,1,0.08632357890759845,16053.489984900914,48,other,53002.97357332808,10001,5,600,Divorced,HS
625b97ad-c681-42f6-bf96-687e432417e1,2025-06-30 04:27:39.170488+00:00,White,Male,56+,1,0.16734626955450216,21151.855449266593,60,education,93807.82650984003,98101,2,750,Married,HS
6d16fac6-c512-4568-8186-3381c5293645,2025-06-30 04:27:39.170488+00:00,White,Female,36-55,1,0.253091110851557,18694.427783310977,36,car,89895.16305898172,98101,5,650,Single,Bachelors
27c2ffc5-0997-4d8b-9ad3-8de982f93169,2025-06-30 04:27:39.170489+00:00,Black,Female,36-55,0,0.3765857037206295,29497.479824998998,48,home,95275.50005599725,10001,15,750,Married,Bachelors
